Language classification,Flanker effect,No-go accuracy
dlc,101.657380952381,0.9375
dlc,135.5528455980667,0.875
slc,113.20271204727175,0.96875
dlc,60.280408270715725,0.90625
mono,132.36210937499993,0.84375
slc,122.69443903688523,0.9375
slc,93.08432539682542,0.9375
slc,73.75675717819934,1
dlc,109.21167503966154,0.8125
mono,94.77647429435484,0.90625
slc,90.60797899590159,0.875
dlc,92.58755388087286,0.90625
dlc,22.5513097072419,0
dlc,70.32609374999998,1
dlc,195.72157490394346,0.90625
slc,155.3672800645682,0.53125
slc,144.87590625,0.96875
dlc,151.18254026316094,0.40625
dlc,64.08585936875,0.96875
mono,161.52159090909095,0.9375
mono,123.71237184491287,0.9375
slc,60.314999998437486,0.875
slc,73.0044531328125,0.96875
dlc,104.8648317137019,0.84375
mono,108.6900161210317,0.90625
slc,92.10378127020834,0.78125
slc,102.76234374531253,0.96875
mono,117.61898437500003,0.90625
slc,208.62821747448982,0.90625
mono,107.20571068382048,0.90625
dlc,102.35560675883255,0.96875
slc,128.13921933067923,0.96875
slc,132.7646018145162,1
mono,79.12064516284954,0.96875
mono,100.36407365602685,0.4375
slc,120.92018079096044,0.84375
dlc,122.78576414595454,0.6875
mono,93.33429687499995,0.875
slc,96.99374999999998,0.84375
dlc,100.66224546370967,0.84375
dlc,137.7951587301588,0.84375
dlc,121.60880796532257,0.75
mono,145.71844866071433,0.78125
mono,57.31985383064523,0.875
slc,128.98785714761902,0.9375
dlc,61.51666666666665,0.75
dlc,98.48923924180332,0.78125
dlc,51.26664959016398,1
mono,95.1599871926229,0.75
dlc,53.28430356785714,0.78125
mono,79.94462282839442,0.8125
mono,110.13146929824563,0.9375
mono,151.39905134263392,0.96875
slc,142.35453125000004,0.875
mono,82.92242324561403,0.90625
slc,96.84046873906243,0.96875
dlc,75.97460770913068,0.84375
dlc,101.07518538135594,0.875
mono,123.03911794359885,0.96875
dlc,93.2019878472222,0.8125
dlc,103.74284229179068,1
slc,114.15379464285718,0.875
slc,108.14968873797397,0.875
dlc,70.571953125,0.90625
dlc,94.90781249999998,0.75
mono,88.88533834586462,1
dlc,69.56291582671378,0.78125
mono,76.77298437500002,0.75
slc,84.49984374999997,0.84375
mono,166.09009232954548,0.84375
dlc,116.23308896006938,0.90625
slc,121.3725142045455,0.84375
mono,132.24686878231648,1
mono,86.56365778509223,0.78125
slc,133.125,0.625
dlc,135.505234378125,0.96875
mono,143.21190873690477,0.84375
mono,108.5777548476691,1
mono,173.89415322580646,0.8125
slc,120.4061187916027,0.9375
mono,99.02240203373015,0.96875
mono,136.49991269841274,0.96875
slc,90.08959172288303,0.90625
slc,94.82319302237903,0.8125
dlc,125.56514547413792,0.9375
slc,93.0703881322172,0.90625
slc,113.09003831417624,1
dlc,82.53276209677415,0.78125
slc,68.92290178571426,0.90625
dlc,87.79241071428572,0.875
